Nombre,Slug,Tipo_actual,Tipo_propuesto,Servicio_1,Servicio_2,Servicio_3
"Synergym",synergym-2,yoga,pilates,"Yoga","Pilates",""
"Synergym Albacete La Tamos",synergym-albacete-la-tamos,yoga,pilates,"Yoga","Pilates",""
"Synergym Albacete Universidad",synergym-albacete-universidad,yoga,pilates,"Yoga","Pilates",""
"Synergym Algeciras",synergym-algeciras,yoga,pilates,"Yoga","Pilates",""
"Synergym Almería Los Molinos",synergym-almeria-los-molinos,yoga,pilates,"Yoga","Pilates",""
"Synergym Almería Vega de Acá",synergym-almeria-vega-de-aca,yoga,pilates,"Yoga","Pilates",""
"Synergym Ciudad Real Quijote",synergym-ciudad-real-quijote,yoga,pilates,"Yoga","Pilates",""
"Synergym Guadalajara La Llanilla",synergym-guadalajara-la-llanilla,yoga,yoga,"Yoga","Pilates",""
"Synergym Guadalajara Las Cañas",synergym-guadalajara-las-canas,yoga,pilates,"Yoga","Pilates",""
"Synergym Jaén",synergym-jaen,yoga,pilates,"Yoga","Pilates",""
"Synergym Lleida Castells",synergym-lleida-castells,yoga,yoga,"Yoga","Pilates",""
"Synergym Lleida Clot",synergym-lleida-clot,yoga,pilates,"Yoga","Pilates",""
"Synergym Logroño Las Gaunas",synergym-logrono-las-gaunas,yoga,pilates,"Yoga","Pilates",""
